Store,Dept,mu_demand,sigma_historical,mu_forecast,sigma_residual,n_oof_samples,sigma_reduction_pct,model
22,40,54085.09714285714,3354.4885071475514,54849.52,3354.4885071475514,79,0.0,XGBoost
22,72,67241.9531092437,47013.88196840771,64348.477,27735.51884012197,79,41.00568240937936,XGBoost
22,90,21202.78092436975,2161.4701146379216,21845.355,1863.7632166340559,79,13.773352496883174,XGBoost
22,91,21258.668487394956,1993.118911201966,21597.098,1973.4891906730015,79,0.984874530999591,XGBoost
22,92,51475.61033613445,6200.543407206533,53776.707,6200.543407206533,79,0.0,XGBoost
22,95,58021.24907563025,6594.2309455561635,61069.04,6594.2309455561635,79,0.0,XGBoost
23,2,70055.36268907563,11852.824090158221,69399.72,6609.936889226882,79,44.23323219050113,XGBoost
23,8,36248.293613445385,3613.2336935431504,36796.12,2630.135679075405,79,27.2082599092481,XGBoost
23,13,36992.52302521009,5319.463205709379,36359.12,3399.879159795537,79,36.086048002993095,XGBoost
23,38,43978.912773109245,4843.590007691086,44291.375,4843.590007691086,79,0.0,XGBoost
23,40,61071.399159663866,4933.753941547439,62092.1,4933.753941547439,79,0.0,XGBoost
23,72,77760.23100840337,46176.593540604925,76629.12,28390.27354384597,79,38.5180426553525,XGBoost
23,90,20706.48243697479,5544.356551145995,23265.42,2051.5368703166646,79,62.997746422123214,XGBoost
23,91,20459.159747899157,8932.805720917708,24844.63,2823.464362051121,79,68.39218885686171,XGBoost
23,92,59616.87806722689,12025.162207542728,63770.45,5867.967278901262,79,51.20259354821337,XGBoost
23,95,54146.30554621849,8502.286612408663,55652.406,5023.1102989751635,79,40.92047789068667,XGBoost
24,2,40945.38008403361,5442.359371482514,41277.2,3781.7972868067855,79,30.5118051074857,XGBoost
24,8,48816.27890756303,3241.8560286955167,49436.61,2809.200975553855,79,13.345905842578599,XGBoost
24,13,29330.76487394958,2952.80325289344,29201.92,2131.89264416765,79,27.801060159405576,XGBoost
24,38,59427.070420168064,7409.576698289831,62665.86,7409.576698289831,79,0.0,XGBoost
24,40,45193.24571428572,2753.4522146147833,45481.03,2753.4522146147833,79,0.0,XGBoost
24,72,58504.70907563025,28407.03606852651,59205.19,15211.995776933425,79,46.449901565804296,XGBoost
24,90,72682.59008403363,6657.749740406457,74505.28,5261.736484189693,79,20.968244687003455,XGBoost
24,91,52228.40806722689,5282.033438943031,53985.875,5073.032556189873,79,3.956826195234775,XGBoost
24,92,121336.0225210084,12368.419278536012,123285.016,9747.251285826125,79,21.192425108507006,XGBoost
24,95,94061.20210084034,12351.529696178097,94182.164,7526.366678976358,79,39.06530717968298,XGBoost
25,2,36998.259327731095,4482.347105064401,37234.477,2598.53602532333,79,42.02733602698101,XGBoost
